ts_code,name,industry,stage_transition,promotion_rank,predicted_promotion_probability,research_fill_proxy_score,research_conditional_profit_score,research_joint_proxy_score,source_executable_profit_research_rank,internal_shadow_order,internal_shadow_selected,shadow_slot,shadow_max_price,shadow_price_basis,shadow_price_source_sha256
600088.SH,中视传媒,影视院线,2→3,9,0.23989495937502925,0.9594468327146498,0.41241717179550347,0.3956923492363294,1,1,1,1,14.74,D_CLOSE_CONSERVATIVE_CAP,7cbc2b9c235620faf7f5c8b63d78d4747e73ae232557f8eb423268dda7627cdc
603439.SH,三力制药,中药Ⅱ,2→3,10,0.22894441311674368,0.965131827920007,0.409086103302085,0.3948220186566141,2,2,1,2,13.79,D_CLOSE_CONSERVATIVE_CAP,7cbc2b9c235620faf7f5c8b63d78d4747e73ae232557f8eb423268dda7627cdc
605058.SH,澳弘电子,元件,2→3,8,0.29234389792162147,0.9727986690541661,0.3893631189679137,0.3787719239107654,3,3,0,,36.64,D_CLOSE_CONSERVATIVE_CAP,7cbc2b9c235620faf7f5c8b63d78d4747e73ae232557f8eb423268dda7627cdc
000980.SZ,众泰汽车,汽车零部件,2→3,5,0.3679468906787063,0.9545712304217805,0.37881111288866526,0.36160219012757716,4,4,0,,2.33,D_CLOSE_CONSERVATIVE_CAP,7cbc2b9c235620faf7f5c8b63d78d4747e73ae232557f8eb423268dda7627cdc
600876.SH,凯盛新能,玻璃玻纤,3→4,2,0.5076401335801805,0.9523952257329066,0.35550560601148923,0.33858184188662604,5,5,0,,9.57,D_CLOSE_CONSERVATIVE_CAP,7cbc2b9c235620faf7f5c8b63d78d4747e73ae232557f8eb423268dda7627cdc
000823.SZ,超声电子,元件,3→4,6,0.3282297019693888,0.9792194007753969,0.32915567648386745,0.3223156242883531,6,6,0,,22.63,D_CLOSE_CONSERVATIVE_CAP,7cbc2b9c235620faf7f5c8b63d78d4747e73ae232557f8eb423268dda7627cdc
002585.SZ,双星新材,塑料,2→3,7,0.3088465269812249,0.9596526967116819,0.3121968572168951,0.2996005559331053,7,7,0,,10.96,D_CLOSE_CONSERVATIVE_CAP,7cbc2b9c235620faf7f5c8b63d78d4747e73ae232557f8eb423268dda7627cdc
002560.SZ,通达股份,电网设备,2→3,4,0.4645732051432986,0.9205277821284069,0.3066066466391886,0.28223993641660045,8,8,0,,7.57,D_CLOSE_CONSERVATIVE_CAP,7cbc2b9c235620faf7f5c8b63d78d4747e73ae232557f8eb423268dda7627cdc
605069.SH,正和生态,环境治理,2→3,3,0.4808922103629275,0.6219741121589932,0.4363232799546321,0.27138178466408214,9,9,0,,12.65,D_CLOSE_CONSERVATIVE_CAP,7cbc2b9c235620faf7f5c8b63d78d4747e73ae232557f8eb423268dda7627cdc
002912.SZ,中新赛克,计算机设,3→4,1,0.7339857956137485,0.4599907304480948,0.3682180957456143,0.16937691082623163,10,10,0,,25.86,D_CLOSE_CONSERVATIVE_CAP,7cbc2b9c235620faf7f5c8b63d78d4747e73ae232557f8eb423268dda7627cdc
