ts_code,trade_time,open,close,high,low,vol,amount
605058.SH,2026-09-18 09:30:00,49.0,49.0,49.0,49.0,1318000.0,64582000.0
605058.SH,2026-09-18 09:31:00,49.72,49.57,50.5,49.3,2148610.0,106772160.0
605058.SH,2026-09-18 09:32:00,49.89,49.07,49.89,49.07,1700490.0,84249624.0
605058.SH,2026-09-18 09:33:00,49.18,50.58,50.58,49.18,692598.0,34646456.0
605058.SH,2026-09-18 09:34:00,50.58,49.8,50.62,49.2,766410.0,38250380.0
605058.SH,2026-09-18 09:35:00,49.8,49.1,49.8,49.01,707300.0,34753756.0
605058.SH,2026-09-18 09:36:00,49.1,49.21,49.31,48.51,902200.0,44176092.0
605058.SH,2026-09-18 09:37:00,49.21,49.15,49.94,49.0,357500.0,17664536.0
605058.SH,2026-09-18 09:38:00,49.12,49.66,49.66,49.04,312600.0,15402178.0
605058.SH,2026-09-18 09:39:00,49.66,49.25,49.82,49.18,221024.0,10957948.0
605058.SH,2026-09-18 09:40:00,49.38,48.89,49.38,48.89,315200.0,15486974.0
605058.SH,2026-09-18 09:41:00,48.75,48.12,48.75,47.37,760700.0,36515040.0
605058.SH,2026-09-18 09:42:00,48.05,48.05,48.26,47.72,493800.0,23685188.0
605058.SH,2026-09-18 09:43:00,48.05,48.58,48.63,48.02,247300.0,11931700.0
605058.SH,2026-09-18 09:44:00,48.27,48.27,48.58,48.2,205800.0,9935781.0
605058.SH,2026-09-18 09:45:00,48.37,48.23,48.45,48.22,144400.0,6973766.0
605058.SH,2026-09-18 09:46:00,48.22,48.67,48.71,48.22,181900.0,8821049.0
605058.SH,2026-09-18 09:47:00,48.67,48.38,48.7,48.25,125200.0,6070967.0
605058.SH,2026-09-18 09:48:00,48.5,48.31,48.5,48.31,90000.0,4354061.0
605058.SH,2026-09-18 09:49:00,48.3,48.4,48.58,48.3,146500.0,7094925.0
605058.SH,2026-09-18 09:50:00,48.4,47.66,48.4,47.66,364800.0,17448172.0
605058.SH,2026-09-18 09:51:00,47.7,47.54,47.99,47.54,261500.0,12476594.0
605058.SH,2026-09-18 09:52:00,47.55,47.55,47.75,47.55,225600.0,10740876.0
605058.SH,2026-09-18 09:53:00,47.53,47.18,47.54,47.18,389600.0,18496944.0
605058.SH,2026-09-18 09:54:00,47.17,47.42,47.5,47.01,501700.0,23669332.0
605058.SH,2026-09-18 09:55:00,47.42,47.35,47.52,47.3,212500.0,10071803.0
605058.SH,2026-09-18 09:56:00,47.34,47.01,47.34,47.01,218800.0,10317409.0
605058.SH,2026-09-18 09:57:00,47.03,47.6,47.6,47.0,274734.0,12994344.0
605058.SH,2026-09-18 09:58:00,47.6,47.79,47.98,47.6,129700.0,6199657.0
605058.SH,2026-09-18 09:59:00,47.6,47.6,47.72,47.32,97200.0,4617157.0
605058.SH,2026-09-18 10:00:00,47.46,47.48,47.78,47.4,63600.0,3023963.0
605058.SH,2026-09-18 10:01:00,47.77,48.4,48.5,47.63,154100.0,7421332.0
605058.SH,2026-09-18 10:02:00,48.05,48.55,48.57,48.05,85700.0,4150306.0
605058.SH,2026-09-18 10:03:00,48.54,48.32,48.56,48.32,83400.0,4042160.0
605058.SH,2026-09-18 10:04:00,48.27,47.92,48.32,47.92,65300.0,3143777.0
605058.SH,2026-09-18 10:05:00,47.92,48.22,48.38,47.91,59200.0,2851410.0
605058.SH,2026-09-18 10:06:00,48.23,48.19,48.28,48.03,40900.0,1970290.0
605058.SH,2026-09-18 10:07:00,48.14,48.3,48.3,47.88,80300.0,3857887.0
605058.SH,2026-09-18 10:08:00,48.32,48.26,48.53,48.04,69800.0,3377635.0
605058.SH,2026-09-18 10:09:00,48.26,48.45,48.47,48.26,42800.0,2067742.0
605058.SH,2026-09-18 10:10:00,48.49,48.39,48.5,48.35,45800.0,2219905.0
605058.SH,2026-09-18 10:11:00,48.39,48.43,48.49,48.39,40900.0,1982513.0
