ts_code,trade_date,close,open,high,low,vol,amount,vwap
000001.SZ,20260911,11.84,11.82,11.85,11.82,382000.0,4517085.12,11.83
000002.SZ,20260911,3.14,3.14,3.15,3.14,954300.0,2997472.96,3.14
000006.SZ,20260911,6.98,6.99,6.99,6.98,77600.0,542224.0,6.99
000007.SZ,20260911,10.82,10.81,10.82,10.81,27700.0,299446.0,10.81
000008.SZ,20260911,2.48,2.49,2.49,2.48,36900.0,91827.0,2.49
000009.SZ,20260911,6.91,6.93,6.93,6.91,287500.0,1992024.0,6.93
000010.SZ,20260911,1.66,1.67,1.68,1.66,720800.0,1203872.0,1.67
000011.SZ,20260911,9.07,9.06,9.07,9.06,116300.0,1053752.96,9.06
000012.SZ,20260911,3.76,3.76,3.78,3.76,209800.0,788902.0,3.76
000014.SZ,20260911,10.49,10.43,10.58,10.43,33700.0,352467.0,10.46
000016.SZ,20260911,2.46,2.46,2.46,2.46,0.0,0.0,2.46
000017.SZ,20260911,7.78,7.62,7.84,7.62,6428718.08,49015178.24,7.62
000019.SZ,20260911,7.6,7.59,7.68,7.59,1890000.0,14356829.44,7.6
000020.SZ,20260911,13.06,12.97,13.09,12.97,905000.0,11747727.36,12.98
000021.SZ,20260911,35.1,35.21,35.21,35.04,1845400.0,64926873.6,35.18
000025.SZ,20260911,14.8,14.8,14.85,14.8,140200.0,2075247.04,14.8
000026.SZ,20260911,18.96,19.06,19.06,18.96,33900.0,645626.0,19.05
000027.SZ,20260911,6.41,6.44,6.44,6.41,156500.0,1007340.0,6.44
000028.SZ,20260911,20.11,20.11,20.11,20.11,9700.0,195067.0,20.11
000029.SZ,20260911,22.2,22.5,22.56,22.2,32600.0,731700.0,22.45
000030.SZ,20260911,4.02,4.01,4.02,4.01,67200.0,269493.0,4.01
000031.SZ,20260911,2.24,2.25,2.25,2.24,114400.0,257354.0,2.25
000032.SZ,20260911,13.7,13.67,13.75,13.67,211400.0,2893069.12,13.69
000034.SZ,20260911,22.65,22.62,22.66,22.6,150000.0,3393002.88,22.62
000035.SZ,20260911,5.02,5.03,5.03,5.02,147500.0,741855.04,5.03
000036.SZ,20260911,3.9,3.91,3.91,3.9,344000.0,1342560.96,3.9
000037.SZ,20260911,9.52,9.56,9.56,9.51,131900.0,1260124.96,9.55
000039.SZ,20260911,9.39,9.4,9.4,9.38,68200.0,641010.0,9.4
000042.SZ,20260911,8.36,8.37,8.37,8.36,31900.0,266913.0,8.37
000045.SZ,20260911,10.88,10.88,10.88,10.88,3800.0,41344.0,10.88
000048.SZ,20260911,22.57,22.95,22.97,22.55,538600.0,12347051.52,22.92
000049.SZ,20260911,22.43,22.43,22.44,22.43,41600.0,933088.96,22.43
000050.SZ,20260911,6.41,6.42,6.42,6.41,85200.0,546727.0,6.42
000055.SZ,20260911,3.59,3.59,3.6,3.58,22600.0,81121.0,3.59
000056.SZ,20260911,2.59,2.58,2.6,2.58,692800.0,1792123.04,2.59
000058.SZ,20260911,7.18,7.21,7.21,7.18,16500.0,118891.0,7.21
000059.SZ,20260911,5.86,5.85,5.87,5.85,955300.0,5591176.96,5.85
000060.SZ,20260911,6.33,6.35,6.35,6.32,4221900.16,26795112.96,6.35
000061.SZ,20260911,6.51,6.52,6.53,6.5,274800.0,1791943.04,6.52
000062.SZ,20260911,22.74,22.8,22.8,22.7,149100.0,3398103.04,22.79
000063.SZ,20260911,32.07,32.06,32.1,32.05,820500.0,26306603.52,32.06
000065.SZ,20260911,9.52,9.56,9.56,9.51,264900.0,2530140.96,9.55
000066.SZ,20260911,13.86,13.88,13.88,13.84,986900.0,13693446.4,13.88
000068.SZ,20260911,3.26,3.26,3.26,3.26,30800.0,100408.0,3.26
000069.SZ,20260911,1.82,1.82,1.82,1.81,457900.0,833324.96,1.82
000070.SZ,20260911,15.85,15.81,15.88,15.81,395500.0,6255384.96,15.82
000078.SZ,20260911,1.51,1.51,1.52,1.51,1224900.0,1849664.96,1.51
000088.SZ,20260911,4.65,4.65,4.65,4.64,421200.0,1957912.96,4.65
000089.SZ,20260911,6.64,6.64,6.65,6.64,158000.0,1049539.04,6.64
000090.SZ,20260911,3.53,3.52,3.53,3.52,30700.0,108112.0,3.52
000096.SZ,20260911,8.34,8.31,8.35,8.31,82400.0,685055.04,8.31
000099.SZ,20260911,13.64,13.66,13.66,13.62,23700.0,323679.0,13.66
000100.SZ,20260911,4.65,4.65,4.66,4.65,3720099.84,17299232.0,4.65
000151.SZ,20260911,10.25,10.25,10.27,10.24,54100.0,554511.0,10.25
000153.SZ,20260911,6.24,6.21,6.24,6.21,17900.0,111263.0,6.22
000155.SZ,20260911,11.82,11.88,11.88,11.81,301100.0,3573994.88,11.87
000156.SZ,20260911,6.96,6.95,6.96,6.95,41500.0,288426.0,6.95
000157.SZ,20260911,6.58,6.59,6.6,6.58,394500.0,2599344.96,6.59
000158.SZ,20260911,12.88,12.8,12.88,12.8,435324.0,5573991.04,12.8
000159.SZ,20260911,5.84,5.8,5.84,5.79,136400.0,791136.0,5.8
000166.SZ,20260911,4.56,4.56,4.56,4.55,1106600.0,5045793.92,4.56
000301.SZ,20260911,13.82,13.78,13.82,13.78,247100.0,3405887.04,13.78
000333.SZ,20260911,86.17,86.2,86.23,86.14,73700.0,6352844.8,86.2
000338.SZ,20260911,26.54,26.56,26.57,26.52,486600.0,12921305.6,26.55
000400.SZ,20260911,21.01,21.01,21.01,21.0,98600.0,2071560.96,21.01
000401.SZ,20260911,3.64,3.64,3.65,3.63,25400.0,92432.0,3.64
000402.SZ,20260911,2.52,2.53,2.53,2.52,636100.0,1609308.0,2.53
000403.SZ,20260911,10.31,10.31,10.31,10.31,12500.0,128875.0,10.31
000404.SZ,20260911,7.05,7.05,7.05,7.04,98300.0,692958.0,7.05
000407.SZ,20260911,4.37,4.36,4.37,4.36,409300.0,1785276.0,4.36
000408.SZ,20260911,73.8,73.9,73.95,73.77,529900.0,39156687.36,73.89
000409.SZ,20260911,9.01,9.02,9.02,9.0,15700.0,141599.0,9.02
000410.SZ,20260911,5.1,5.11,5.11,5.1,342800.0,1751612.0,5.11
000411.SZ,20260911,10.0,10.04,10.04,10.0,4800.0,48188.0,10.04
000415.SZ,20260911,4.57,4.58,4.59,4.57,694000.0,3180188.16,4.58
000417.SZ,20260911,6.33,6.31,6.36,6.3,431500.0,2723632.96,6.31
000419.SZ,20260911,5.27,5.24,5.27,5.24,45600.0,238982.0,5.24
000420.SZ,20260911,3.61,3.61,3.62,3.6,758600.0,2736426.88,3.61
000421.SZ,20260911,5.96,5.95,5.96,5.95,69000.0,410645.0,5.95
000422.SZ,20260911,12.6,12.6,12.63,12.6,162900.0,2053508.96,12.61
000423.SZ,20260911,46.09,46.09,46.09,46.06,15500.0,714356.0,46.09
000425.SZ,20260911,8.16,8.15,8.17,8.14,628800.0,5125350.08,8.15
000426.SZ,20260911,36.6,36.45,36.7,36.45,1199196.0,43730426.88,36.47
000428.SZ,20260911,5.0,5.0,5.08,5.0,1751700.0,8775061.12,5.01
000429.SZ,20260911,12.57,12.56,12.57,12.56,25000.0,314010.0,12.56
000430.SZ,20260911,7.75,7.8,7.84,7.75,701900.0,5473489.92,7.8
000488.SZ,20260911,2.16,2.16,2.17,2.15,671000.0,1449587.04,2.16
000498.SZ,20260911,4.98,4.98,4.98,4.97,60500.0,301239.0,4.98
000501.SZ,20260911,7.49,7.46,7.49,7.46,129900.0,969850.0,7.47
000503.SZ,20260911,6.87,6.87,6.9,6.87,46900.0,322233.0,6.87
000504.SZ,20260911,8.59,8.58,8.8,8.58,40400.0,348075.0,8.62
000505.SZ,20260911,7.47,7.45,7.5,7.45,995300.0,7418698.88,7.45
000506.SZ,20260911,18.6,18.65,18.73,18.58,1057100.0,19721931.52,18.66
000507.SZ,20260911,5.15,5.14,5.16,5.14,151600.0,779640.0,5.14
000509.SZ,20260911,3.52,3.53,3.53,3.51,59600.0,210357.0,3.53
000510.SZ,20260911,16.24,16.21,16.3,16.21,177500.0,2879030.08,16.22
000513.SZ,20260911,27.2,27.28,27.28,27.19,4500.0,122703.0,27.27
000514.SZ,20260911,4.29,4.3,4.3,4.29,27800.0,119430.0,4.3
000516.SZ,20260911,4.26,4.28,4.29,4.26,153200.0,655054.0,4.28
000517.SZ,20260911,2.12,2.12,2.12,2.12,8500.0,18020.0,2.12
000518.SZ,20260911,3.79,3.8,3.8,3.79,63600.0,241629.0,3.8
000519.SZ,20260911,15.98,15.99,16.05,15.93,1347400.0,21544504.32,15.99
