ts_code,name,industry,stage_transition,promotion_rank,predicted_promotion_probability,executable_profit_research_rank,estimated_executable_profit_probability,research_joint_proxy_score,research_fill_proxy_score,research_conditional_profit_score,rank_tied,rank_group_size
600691.SH,潞化科技,农化制品,2→3,8,0.33943104591745965,1,0.2917818955207787,0.2917818955207787,0.958940631661095,0.3042752448765766,False,1
600227.SH,赤天化,农化制品,2→3,5,0.4087103567801188,2,0.28513217681389413,0.28513217681389413,0.9710735032994562,0.29362574083742254,False,1
600551.SH,时代出版,出版,2→3,10,0.33126604451303926,3,0.27782169570916276,0.27782169570916276,0.9661186246275344,0.28756478617340675,False,1
000011.SZ,深物业A,房地产开发,2→3,4,0.5275370246883254,4,0.26683475713669397,0.26683475713669397,0.9107706914934678,0.29297688169910524,False,1
003005.SZ,竞业达,IT服务Ⅱ,2→3,6,0.3898183711072812,5,0.26510431112418703,0.26510431112418703,0.978807490536167,0.27084417894980484,False,1
603269.SH,海鸥股份,通用设备,3→4,7,0.36117511289291354,6,0.2612935243104424,0.2612935243104424,0.9776805630376642,0.26725858546128867,False,1
000560.SZ,我爱我家,房地产服务,2→3,1,0.6919008088651896,7,0.2490697636902312,0.2490697636902312,0.8711089934607943,0.28592261767464006,False,1
002886.SZ,沃特股份,塑料,3→4,9,0.33206467727491334,8,0.24755976664223456,0.24755976664223456,0.9823624570983953,0.2520045069448725,False,1
002679.SZ,福建金森,林业Ⅱ,2→3,3,0.5887993879766035,9,0.19873286496532874,0.19873286496532874,0.776142963265209,0.25605188009341195,False,1
600540.SH,新赛股份,种植业,3→4,2,0.6750291373729974,10,0.19427319656647435,0.19427319656647435,0.7866413955396174,0.24696538685611316,False,1
