ts_code,name,industry,stage_transition,promotion_rank,legacy_profit_relative_rank,legacy_profit_raw_score,legacy_profit_relative_percentile,rank_tied,rank_group_size
002418.SZ,康盛股份,家电零部,3→4,8,1,0.46305726603341807,1.0,False,1
002742.SZ,冀衡医药,化学制药,3→4,3,2,0.45467066684207436,0.9,False,1
600371.SH,万向德农,种植业,3→4,5,3,0.4501876633196818,0.8,False,1
002855.SZ,捷荣技术,消费电子,3→4,1,4,0.4441960926145301,0.7,False,1
600103.SH,青山纸业,造纸,3→4,6,5,0.4036189336418046,0.6,False,1
603618.SH,杭电股份,电网设备,2→3,10,6,0.39308664443084157,0.5,False,1
000712.SZ,锦龙股份,证券Ⅱ,2→3,4,7,0.3569520546874081,0.4,False,1
002072.SZ,凯瑞德,贸易Ⅱ,2→3,9,8,0.3564399711858099,0.3,False,1
000890.SZ,法尔胜,环保设备,2→3,7,9,0.33637354728081864,0.2,False,1
002942.SZ,新农股份,农化制品,2→3,2,10,0.32276068967295146,0.1,False,1
