actual_exit_date,actual_exit_price,actual_net_return,actual_order_fill_observed,blocked_exit_sessions,continuation_limit_up_hit,exec_date,exit_date,gross_return,industry,market_daily_return,name,observation_t_return,path_label,promotion_rank,proxy_fill,signal_date,slot_net_return,stage_transition,t_close,t_open,truth_source,ts_code,validation_status
,,,False,,1,20260831,20260901,,种植业,0.10099009900990086,新赛股份,0.0,持续强势,1,0,20260828,0.0,2→3,5.56,5.56,daily_open_proxy,600540.SH,FINAL_NO_FILL_PROXY
20260901,28.83,0.039686888808402716,False,0,1,20260831,20260901,0.04418688880840271,塑料,0.10000000000000009,沃特股份,0.05179282868525892,加速一致,2,1,20260828,0.039686888808402716,2→3,29.04,27.61,daily_open_proxy,002886.SZ,FINAL_VERIFIED_PROXY
20260901,12.08,-0.06515318818040422,False,0,1,20260831,20260901,-0.060653188180404216,证券Ⅱ,0.09999999999999987,锦龙股份,0.009331259720062324,持续强势,3,1,20260828,-0.06515318818040422,3→4,12.98,12.86,daily_open_proxy,000712.SZ,FINAL_VERIFIED_PROXY
20260901,6.92,-0.0339530154277699,False,0,0,20260831,20260901,-0.029453015427769902,饰品,-0.09936305732484074,莱绅通灵,-0.008415147265077083,加速一致,4,1,20260828,-0.0339530154277699,2→3,7.07,7.13,daily_open_proxy,603900.SH,FINAL_VERIFIED_PROXY
20260901,3.34,-0.02502785923753675,False,0,0,20260831,20260901,-0.02052785923753675,软件开发,-0.07438016528925617,中安科,-0.014662756598240567,分歧回封,5,1,20260828,-0.02502785923753675,2→3,3.36,3.41,daily_open_proxy,600654.SH,FINAL_VERIFIED_PROXY
20260902,21.1,0.05102776388194114,False,1,0,20260831,20260901,0.05552776388194114,农化制品,0.05212816834050682,新农股份,0.10055027513756887,分歧回封,6,1,20260828,0.05102776388194114,3→4,22.0,19.99,daily_open_proxy,002942.SZ,FINAL_VERIFIED_PROXY
20260901,12.04,-0.06387500000000007,False,0,0,20260831,20260901,-0.05937500000000007,中药Ⅱ,-0.08852213053263314,千金药业,-0.05078125,强转弱,7,1,20260828,-0.06387500000000007,3→4,12.15,12.8,daily_open_proxy,600479.SH,FINAL_VERIFIED_PROXY
,,,False,,0,20260831,20260901,,房地产开发,-0.07276119402985082,香江控股,-0.15762711864406787,分歧回封,8,0,20260828,0.0,2→3,4.97,5.9,daily_open_proxy,600162.SH,FINAL_NO_FILL_PROXY
20260901,25.86,0.14076129317980518,False,0,1,20260831,20260901,0.14526129317980518,通用设备,0.10009017132551845,海鸥股份,0.08060230292294057,加速一致,9,1,20260828,0.14076129317980518,2→3,24.4,22.58,daily_open_proxy,603269.SH,FINAL_VERIFIED_PROXY
20260901,26.95,-0.006351851851851882,False,0,0,20260831,20260901,-0.0018518518518518823,专用设备,-0.030741410488245857,合锻智能,-0.007407407407407418,分歧回封,10,1,20260828,-0.006351851851851882,2→3,26.8,27.0,daily_open_proxy,603011.SH,FINAL_VERIFIED_PROXY
20260907,4.73,-0.12038785046728978,False,1,0,20260903,20260904,-0.11588785046728978,游戏Ⅱ,0.01869158878504673,大晟文化,0.01869158878504673,持续强势,1,1,20260902,-0.12038785046728978,3→4,5.45,5.35,daily_open_proxy,600892.SH,FINAL_VERIFIED_PROXY
20260904,4.77,-0.1324707495429615,False,0,0,20260903,20260904,-0.1279707495429615,影视院线,-0.023076923076923106,欢瑞世纪,-0.07129798903107853,持续强势,2,1,20260902,-0.1324707495429615,3→4,5.08,5.47,daily_open_proxy,000892.SZ,FINAL_VERIFIED_PROXY
,,,False,,1,20260903,20260904,,化学制品,0.10027472527472514,集泰股份,0.0,路径混合,3,0,20260902,0.0,3→4,8.01,8.01,daily_open_proxy,002909.SZ,FINAL_NO_FILL_PROXY
